,label,teks,clean
0,5,"Kapasitas HDD asli 1 TB, dan tanpa ada lecet di saat saya pertama kali membuka bungkus bubble nya",kapasitas asli lecet kali buka bungkus bubble nya
1,4,"HD diterima dg packing bubble bagus, hanya tidak tertulis, barang elektronik, atw keterangan lain, agar penanganan lebih hati2 dan istimewa, ketika paket dalam perjalanan. Finally, 4bintang lhah...",hd terima dengan packing bubble bagus tulis barang elektronik atau terang tangan hati istimewa paket jalan akhirnya bintang lhah
2,5,"Saya sangat puas dengan barang.nya, kualitas barang sangat membantu HDD saya apabila jatuh dari atas, dan pengiriman rapi gk ada lecet kasih bintang 5 :) Dan Saya sangat tidak puas dengan peng",puas barang kualitas barang bantu jatuh kirim rapi tidak lecet kasih bintang puas peng
3,4,Barang diterima dengan kondisi yang baik tapi packagingnya kurang,barang terima kondisi packagingnya
4,5,"Suka banget sama barangnya packing nya rapi, pokoknya recomended banget buat kalian yg mau beli tas hardisk dengan kulitas bagus yah di sini",suka banget barang packing nya rapi pokok recomended banget yang beli tas kulitas bagus yah
5,5,"hardisknya keren, pelindungnya kokoh , udah ada aplikasi transcend elitenya di dalam untuk enkripsi thanks seller and lazada",hardisknya keren lindung kokoh sudah aplikasi transcend elite enkripsi terimakasih penjual and lazada
6,4,"Sampainya agak lama tapi puas, packing rapi dan pas dateng warnanya biru seneng banget gan hehe. Top deh semoga awet barangnya",sampai puas packing rapi pas datang warna biru neng banget juragan hehe top deh moga awet barang
7,5,"Trims Lazada & reseller, , barang sdh saya terima senin siang, penigiriman sesuai dengan yg di informasikan.",trims lazada reseller barang sudah terima senin siang penigiriman sesuai yang informasi
8,5,sesuai spek yg saya mau.. jd oke lah,sesuai spek yang jadi oke
9,5,barangnya bagus.  rapi tidak mengecewakan.  akan tetapi bagus kalau ada Bonus pouch nya.  hehhe,barang bagus rapi kecewa bagus bonus pouch nya hehhe
10,5,"barang udah sampe gunn,, masih segell dari pabriknya,, mangstabb,,",barang sudah sampai gunn segell pabrik mangstabb
11,5,barang tlah diterima kondisi baik,barang telah terima kondisi
12,5,"barang dah sampai, makasih",barang sudah terimakasih
13,5,mantap barang gak minus sama sekali,mantap barang tidak minus
14,5,"pengiriman cepat, packing cukup bagus",kirim cepat packing bagus
15,5,Biarkan bintang yang berbicara ... 👌👍,biar bintang bicara
16,5,"Barangnya ok, cepat sampai",barang ok cepat
17,5,"Pengirimannya cepat, produk baik",kirim cepat produk
18,5,Barang  sesuai dengan deskripsi dan berfungsi baik.,barang sesuai deskripsi fungsi
19,5,"sampai cepat, barang sesuai.",cepat barang sesuai
20,4,dikirim hari berikutnya dan barang mulus,kirim barang mulus
